state,record_month,record_year,daily_time,temp_2m_avg,relative_humidity_2m_avg,rain_sum,snowfall_sum
AK,April,2017,2017-04-15 12:00:00,33.656666,68.86667,0.30400002,1.0189999
AK,April,2018,2018-04-15 12:00:00,29.869999,69.666664,0.122,15.158
AK,April,2019,2019-04-15 12:00:00,30.21,68.7,0.028,9.26
AK,April,2020,2020-04-15 12:00:00,30.023335,75.333336,1.3330001,15.958
AK,August,2017,2017-08-16 00:00:00,51.409676,84.03226,6.156,0.0
AK,August,2018,2018-08-16 00:00:00,51.15161,84.90323,7.805,0.0
AK,August,2019,2019-08-16 00:00:00,53.087093,80.129036,5.509,0.0
AK,August,2020,2020-08-16 00:00:00,54.919353,77.548386,3.792,0.0
AK,December,2017,2017-12-16 00:00:00,22.674194,78.6129,0.016,12.651
AK,December,2018,2018-12-16 00:00:00,7.2709675,82.064514,0.024,17.17
AK,December,2019,2019-12-16 00:00:00,3.2387094,76.16129,0.008,9.729
AK,December,2020,2020-12-16 00:00:00,8.222581,77.90323,0.012,8.13
AK,February,2017,2017-02-14 12:00:00,7.517857,77.89286,0.008,10.694
AK,February,2018,2018-02-14 12:00:00,15.542856,73.85714,0.016,16.866
AK,February,2019,2019-02-14 12:00:00,18.885714,77.57143,0.004,18.548
AK,February,2020,2020-02-15 00:00:00,3.5034482,72.06896,0.02,13.808
AK,January,2017,2017-01-16 00:00:00,3.6064517,73.51613,0.004,4.934
AK,January,2018,2018-01-16 00:00:00,3.032258,75.645164,0.0,1.324
AK,January,2019,2019-01-16 00:00:00,6.4322577,76.32258,0.012,5.928
AK,January,2020,2020-01-16 00:00:00,-11.580646,74.258064,0.004,2.783
AK,July,2017,2017-07-16 00:00:00,60.20645,73.41936,1.679,0.0
AK,July,2018,2018-07-16 00:00:00,58.509678,72.70968,2.196,0.0
AK,July,2019,2019-07-16 00:00:00,61.47742,73.67742,3.85,0.0
AK,July,2020,2020-07-16 00:00:00,55.009678,80.19355,3.616,0.0
AK,June,2017,2017-06-15 12:00:00,56.083332,67.86667,3.208,0.0
AK,June,2018,2018-06-15 12:00:00,53.27333,71.433334,3.521,0.0
AK,June,2019,2019-06-15 12:00:00,58.923332,72.86667,2.83,0.0
AK,June,2020,2020-06-15 12:00:00,53.416668,77.5,5.571,0.0
AK,March,2017,2017-03-16 00:00:00,3.6064517,67.03226,0.004,0.524
AK,March,2018,2018-03-16 00:00:00,19.37742,76.51613,0.008,14.579
AK,March,2019,2019-03-16 00:00:00,29.112904,77.6129,0.052,8.241
AK,March,2020,2020-03-16 00:00:00,11.451612,75.451614,0.004,18.411
AK,May,2017,2017-05-16 00:00:00,44.22258,67.90323,2.415,2.26
AK,May,2018,2018-05-16 00:00:00,40.851612,74.90323,2.2779999,3.005
AK,May,2019,2019-05-16 00:00:00,44.548386,72.935486,2.176,0.689
AK,May,2020,2020-05-16 00:00:00,46.68387,63.225807,0.642,0.0
AK,November,2017,2017-11-15 12:00:00,14.353333,83.8,0.004,11.795
AK,November,2018,2018-11-15 12:00:00,17.606667,81.13333,0.047,7.771
AK,November,2019,2019-11-15 12:00:00,16.92,82.3,0.419,34.835
AK,November,2020,2020-11-15 12:00:00,13.396667,82.6,0.016,15.405
AK,October,2017,2017-10-16 00:00:00,31.08387,84.32258,2.849,14.167
AK,October,2018,2018-10-16 00:00:00,35.325806,79.258064,1.095,6.009
AK,October,2019,2019-10-16 00:00:00,29.035482,86.83871,2.146,20.393
AK,October,2020,2020-10-16 00:00:00,30.103226,76.129036,0.285,7.853
AK,September,2017,2017-09-15 12:00:00,43.09667,85.23333,3.9550002,0.496
AK,September,2018,2018-09-15 12:00:00,45.69,83.5,3.425,0.0
AK,September,2019,2019-09-15 12:00:00,44.643333,81.03333,3.7419999,6.671
AK,September,2020,2020-09-15 12:00:00,42.263332,84.433334,3.958,0.0
AL,April,2017,2017-04-15 12:00:00,70.333336,61.0,1.281,0.0
