agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Hiram Police Department,Hiram,GA,Local Police Department,33.875782,-84.7609,15,17,Tuesday,August,14,2018
Glennville Police Department,Glennville,GA,Local Police Department,31.935284,-81.9305,8,13,Wednesday,August,15,2018
Simmesport Police Department,Simmesport,LA,Local Police Department,30.9865,-91.81063,7,7,Tuesday,February,12,2019
Sebewaing Police Department,Sebewaing,MI,Local Police Department,43.732037,-83.45327,3,3,Wednesday,February,6,2019
Michigan Senate Police Department,Lansing,MI,Special Jurisdiction,42.73233,-84.55355,8,9,Wednesday,February,6,2019
Fowlerville Police Department,Fowlerville,MI,Local Police Department,42.65931,-84.07282,6,6,Wednesday,February,6,2019
Ionia Department Of Public Safety,Ionia,MI,Local Police Department,42.981857,-85.05799,17,19,Wednesday,February,6,2019
Olive Hill Police Department,Olive Hill,KY,Local Police Department,38.294827,-83.18505,5,5,Friday,August,10,2018
Bridgeport Township Police Department,Bridgeport,MI,Local Police Department,43.355675,-83.8802,9,10,Thursday,February,7,2019
Calumet Police Department,Calumet,MI,Local Police Department,47.24779,-88.45336,1,1,Wednesday,February,6,2019
Vanceburg Police Department,Vanceburg,KY,Local Police Department,38.600163,-83.31512,6,-999,Friday,August,10,2018
Tawas Police Authority,East Tawas,MI,Local Police Department,44.279488,-83.50033,6,7,Wednesday,February,6,2019
Crittenden County Sheriffs Office,Marion,KY,Sheriff'S Office,37.332596,-88.08177,3,4,Friday,August,10,2018
Grand Rapids Police Department - Training Unit,Grand Rapids,MI,Local Police Department,42.963577,-85.66853,319,387,Wednesday,February,6,2019
Howell Police Department,Howell,MI,Local Police Department,42.604607,-83.92357,19,21,Wednesday,February,6,2019
South Rockwood Police Department,South Rockwood,MI,Local Police Department,42.0622,-83.271675,4,4,Thursday,February,7,2019
Kenton County Police Department,Independence,KY,Local Police Department,38.910404,-84.54539,36,58,Friday,August,10,2018
New Carrollton City Police Department,New Carrollton,MD,Local Police Department,38.964725,-76.86532,12,15,Wednesday,August,8,2018
Park Hills Police Department,Covington,KY,Local Police Department,39.071487,-84.533325,6,6,Friday,August,10,2018
Bowie Police Department,Bowie,MD,Local Police Department,38.96154,-76.74121,45,52,Wednesday,August,8,2018
Richmond Police Department,Richmond,MI,Local Police Department,42.81027,-82.747314,9,12,Wednesday,February,6,2019
Owingsville Police Department,Owingsville,KY,Local Police Department,38.143764,-83.7705,5,5,Monday,August,13,2018
Snow Hill Police Department,Snowhill,MD,Local Police Department,38.176964,-75.39473,8,9,Wednesday,August,8,2018
Greensburg Police Department,Greensburg,KY,Local Police Department,37.26239,-85.501915,7,7,Monday,August,13,2018
City Of Fulton Police Department,Fulton,KY,Local Police Department,36.51139,-88.87627,10,14,Monday,August,13,2018
Kokomo Police Department,Kokomo,IN,Local Police Department,40.48612,-86.12956,100,147,Tuesday,August,28,2018
